stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,route_type,station_type
27,907933,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754553,-84.469302,,,,,,1.0,1,Subway
28,908023,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753328,-84.445329,,,,,,1.0,1,Subway
39,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,,,1.0,1,Subway
40,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,,,1.0,1,Subway
53,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,,,1.0,1,Subway
57,908054,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823385,-84.369357,,,,,,1.0,1,Subway
58,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,,,1.0,1,Subway
61,908047,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.92113,-84.344268,,,,,,1.0,1,Subway
83,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,,,1.0,1,Subway
84,908187,BROOKHAVEN-OGLETHORPE STATION,4047 PEACHTREE RD NE & LENOX RD NE,33.859989,-84.339397,,,,,,1.0,1,Subway
111,906369,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 16TH ST NW,33.789669,-84.387414,,,,,,1.0,1,Subway
112,906370,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 15TH ST NE,33.788828,-84.387272,,,,,,1.0,1,Subway
133,908374,MIDTOWN  STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781247,-84.386342,,,,,,1.0,1,Subway
134,908375,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781355,-84.386353,,,,,,1.0,1,Subway
185,908566,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765241,-84.312937,,,,,,1.0,1,Subway
186,908567,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765196,-84.313426,,,,,,1.0,1,Subway
